time_s,temperature_C,pwm,heat_cool
0.50,21.01,0,0
1.00,21.01,0,0
1.50,21.01,0,0
2.00,21.01,0,0
2.50,21.01,0,0
3.00,21.01,0,0
3.50,21.01,0,0
4.00,21.01,0,0
4.50,21.01,0,0
5.00,21.01,0,0
5.50,21.01,0,0
6.00,21.01,0,0
6.50,21.01,0,0
7.00,21.01,0,0
7.50,21.01,0,0
8.00,21.01,0,0
8.50,21.01,0,0
9.00,21.01,0,0
9.50,21.01,0,0
10.00,21.01,0,0
10.50,21.01,0,0
11.00,21.01,0,0
11.50,21.01,0,0
12.00,21.01,0,0
12.50,21.01,0,0
13.00,21.01,0,0
13.50,21.01,0,0
14.00,21.01,0,0
14.50,21.01,0,0
15.00,21.01,0,0
15.50,21.01,0,0
16.00,21.01,0,0
16.50,21.01,0,0
17.00,21.02,0,0
17.50,21.01,0,0
18.00,21.01,0,0
18.50,21.01,0,0
19.00,21.02,0,0
19.50,21.01,0,0
20.00,21.02,0,0
20.50,21.01,0,0
21.00,21.01,0,0
21.50,21.01,0,0
22.00,21.02,0,0
22.50,21.02,0,0
23.00,21.02,0,0
23.50,21.02,0,0
24.00,21.02,0,0
24.50,21.02,0,0
25.00,21.02,0,0
25.50,21.02,0,0
26.00,21.02,0,0
26.50,21.01,0,0
27.00,21.02,0,0
27.50,21.02,0,0
28.00,21.02,0,0
28.50,21.02,0,0
29.00,21.01,0,0
29.50,21.01,0,0
30.00,21.02,0,0
30.50,21.02,0,0
31.00,21.02,0,0
31.50,21.02,0,0
32.00,21.02,0,0
32.50,21.02,0,0
33.00,21.02,0,0
33.50,21.02,0,0
34.00,21.02,0,0
34.50,21.02,0,0
35.00,21.02,0,0
35.50,21.02,0,0
36.00,21.02,0,0
36.50,21.02,0,0
37.00,21.02,0,0
37.50,21.02,0,0
38.00,21.02,0,0
38.50,21.02,0,0
39.00,21.02,0,0
39.50,21.02,0,0
40.00,21.02,0,0
40.50,21.02,0,0
41.00,21.02,0,0
41.50,21.02,0,0
42.00,21.02,0,0
42.50,21.02,0,0
43.00,21.02,0,0
43.50,21.02,0,0
44.00,21.02,0,0
44.50,21.02,0,0
45.00,21.02,0,0
45.50,21.02,0,0
46.00,21.02,0,0
46.50,21.02,0,0
47.00,21.02,0,0
47.50,21.02,0,0
48.00,21.02,0,0
48.50,21.02,0,0
49.00,21.02,0,0
49.50,21.02,0,0
50.00,21.02,0,0
50.50,20.97,0,0
51.00,18.85,0,0
