time_s,temperature_C,pwm,heat_cool
0.50,26.20,0,1
1.00,26.19,0,1
1.50,26.19,0,1
2.00,26.19,0,1
2.50,26.19,0,1
3.00,26.19,0,1
3.50,26.19,0,1
4.00,26.19,0,1
4.50,26.19,0,1
5.00,26.19,0,1
5.50,26.19,0,1
6.00,26.19,0,1
6.50,26.19,0,1
7.00,26.19,0,1
7.50,26.19,0,1
8.00,26.19,0,1
8.50,26.19,0,1
9.00,26.19,0,1
9.50,26.19,0,1
10.00,26.19,0,1
10.50,26.18,0,1
11.00,26.17,0,1
11.50,26.16,0,1
12.00,26.14,0,1
12.50,26.13,0,1
13.00,26.12,0,1
13.50,26.12,0,1
14.00,26.12,0,1
14.50,26.12,0,1
15.00,26.12,0,1
15.50,26.12,0,1
16.00,26.12,0,1
16.50,26.12,0,1
17.00,26.12,0,1
17.50,26.12,0,1
18.00,26.12,0,1
18.50,26.12,0,1
19.00,26.12,0,1
19.50,26.12,0,1
20.00,26.12,0,1
20.50,26.11,0,1
21.00,26.11,0,1
21.50,26.11,0,1
22.00,26.11,0,1
22.50,26.11,0,1
23.00,26.11,0,1
23.50,26.11,0,1
24.00,26.11,0,1
24.50,26.11,0,1
25.00,26.11,0,1
25.50,26.11,48,1
26.00,26.11,48,1
26.50,26.10,48,1
27.00,26.10,48,1
27.50,26.09,48,1
28.00,26.08,48,1
28.50,26.06,48,1
29.00,26.05,48,1
29.50,26.05,48,1
30.00,26.05,48,1
30.50,26.03,48,1
31.00,25.42,48,1
31.50,25.90,48,1
32.00,25.79,48,1
32.50,25.80,48,1
33.00,25.83,48,1
33.50,25.81,48,1
34.00,25.80,48,1
34.50,25.80,48,1
35.00,25.80,48,1
35.50,25.80,48,1
36.00,25.81,48,1
36.50,25.80,48,1
37.00,25.80,48,1
37.50,25.79,48,1
38.00,25.80,48,1
38.50,25.81,48,1
39.00,25.83,48,1
39.50,25.84,48,1
40.00,25.85,48,1
40.50,25.85,48,1
41.00,25.86,48,1
41.50,25.87,48,1
42.00,25.87,48,1
42.50,25.87,48,1
43.00,25.87,48,1
43.50,25.87,48,1
44.00,25.87,48,1
44.50,25.87,48,1
45.00,25.87,48,1
45.50,25.87,48,1
46.00,25.87,48,1
46.50,25.87,48,1
47.00,25.87,48,1
47.50,25.87,48,1
48.00,25.83,48,1
48.50,25.83,48,1
49.00,25.80,48,1
49.50,25.44,48,1
50.00,25.86,48,1
50.50,25.96,48,1
51.00,25.20,48,1
51.50,25.34,48,1
52.00,25.94,48,1
52.50,25.37,48,1
53.00,25.94,48,1
53.50,25.88,48,1
54.00,25.87,48,1
54.50,25.82,48,1
55.00,25.39,48,1
55.50,25.97,48,1
56.00,25.97,48,1
56.50,25.96,48,1
57.00,25.96,48,1
57.50,25.96,48,1
58.00,25.96,48,1
58.50,25.91,48,1
59.00,25.96,48,1
59.50,25.96,48,1
60.00,25.96,48,1
60.50,25.92,48,1
61.00,25.96,48,1
61.50,25.83,48,1
62.00,25.90,48,1
62.50,25.90,48,1
63.00,25.90,48,1
63.50,25.89,48,1
64.00,25.87,48,1
64.50,25.88,48,1
65.00,25.88,48,1
65.50,25.88,46,1
66.00,25.88,255,1
66.50,25.88,255,1
67.00,25.88,255,1
67.50,25.88,255,1
68.00,25.87,255,1
68.50,25.88,212,1
69.00,25.88,210,1
69.50,25.88,202,1
70.00,25.87,194,1
70.50,25.87,179,1
71.00,25.87,177,1
71.50,25.86,167,1
72.00,25.85,167,1
72.50,25.85,167,1
73.00,25.85,167,1
73.50,25.85,167,1
74.00,25.85,167,1
74.50,25.83,251,1
75.00,25.82,255,1
75.50,25.82,251,1
76.00,25.82,246,1
76.50,25.82,246,1
77.00,25.82,246,1
77.50,25.82,246,1
78.00,25.81,246,1
78.50,25.81,246,1
79.00,25.81,246,1
79.50,25.81,246,1
80.00,25.81,246,1
80.50,25.81,246,1
81.00,25.81,246,1
81.50,25.81,246,1
82.00,25.81,246,1
82.50,25.81,246,1
83.00,25.81,246,1
83.50,25.81,246,1
84.00,25.81,246,1
84.50,25.81,246,1
85.00,25.81,246,1
85.50,25.81,236,1
86.00,25.81,236,1
86.50,25.81,236,1
87.00,25.81,236,1
87.50,25.81,236,1
88.00,25.80,236,1
88.50,25.81,236,1
89.00,25.81,236,1
89.50,25.81,236,1
90.00,25.80,236,1
90.50,25.81,236,1
91.00,25.80,236,1
91.50,25.80,236,1
92.00,25.80,236,1
