time_s,temperature_C,pwm,heat_cool
0.50,26.77,0,1
1.00,26.76,0,1
1.50,26.75,0,1
2.00,26.74,0,1
2.50,26.74,0,1
3.00,26.74,0,1
3.50,26.74,0,1
4.00,26.74,0,1
4.50,26.74,0,1
5.00,26.73,0,1
5.50,26.73,0,1
6.00,26.73,0,1
6.50,26.73,0,1
7.00,26.73,0,1
7.50,26.73,0,1
8.00,26.68,0,1
8.50,26.68,0,1
9.00,26.67,0,1
9.50,26.66,0,1
10.00,26.75,8,1
10.50,26.75,15,1
11.00,26.76,19,1
11.50,26.77,28,1
12.00,26.81,37,1
12.50,26.86,37,1
13.00,26.93,37,1
13.50,27.00,37,1
14.00,27.10,37,1
14.50,27.18,37,1
15.00,27.28,37,1
15.50,27.38,37,1
16.00,27.48,37,1
16.50,27.58,37,1
17.00,27.68,37,1
17.50,27.79,37,1
18.00,27.88,37,1
18.50,27.98,37,1
19.00,28.09,37,1
19.50,28.19,37,1
20.00,28.29,37,1
20.50,28.38,37,1
21.00,28.48,37,1
21.50,28.57,37,1
22.00,28.67,37,1
22.50,28.75,37,1
23.00,28.85,35,1
23.50,28.92,255,1
24.00,29.19,255,1
24.50,29.64,255,1
25.00,30.22,255,1
25.50,30.88,255,1
26.00,31.62,255,1
26.50,32.39,255,1
27.00,33.21,255,1
27.50,34.06,255,1
28.00,34.93,255,1
28.50,35.80,255,1
29.00,36.69,255,1
29.50,37.58,255,1
30.00,38.47,255,1
30.50,39.36,255,1
31.00,40.25,255,1
31.50,41.12,255,1
32.00,41.98,255,1
32.50,42.84,255,1
33.00,43.69,255,1
33.50,44.53,255,1
34.00,45.36,255,1
34.50,46.18,255,1
35.00,46.98,255,1
35.50,47.77,255,1
36.00,48.56,255,1
36.50,49.34,255,1
37.00,50.09,255,1
37.50,50.83,255,1
38.00,51.58,255,1
38.50,52.31,255,1
39.00,53.01,255,1
39.50,53.67,255,0
40.00,54.07,255,0
40.50,54.11,255,0
41.00,53.98,255,0
41.50,53.80,12,0
42.00,53.53,0,0
42.50,53.24,0,0
43.00,52.96,0,0
43.50,52.66,0,0
44.00,52.23,244,0
44.50,51.87,251,0
45.00,51.40,251,0
45.50,50.82,251,0
46.00,50.20,251,0
46.50,49.57,251,0
47.00,48.89,251,0
47.50,48.19,251,0
48.00,47.51,251,0
