time_s,temperature_C,pwm,heat_cool
2.09,19.06,0,1
2.59,19.06,0,1
3.09,19.07,0,1
3.59,19.07,0,1
4.09,19.08,0,1
4.59,19.09,0,1
5.09,19.10,0,1
5.59,19.11,0,1
6.09,19.13,0,1
6.59,19.14,0,1
7.09,19.17,0,1
7.59,19.18,0,1
8.09,19.21,0,1
8.59,19.23,0,1
9.09,19.25,0,1
9.59,19.27,0,1
10.09,19.29,0,1
10.59,19.31,0,1
11.09,19.34,35,1
11.59,19.38,37,1
12.09,19.45,37,1
12.59,19.55,37,1
13.09,19.66,37,1
13.59,19.78,37,1
14.09,19.91,37,1
14.59,20.05,37,1
15.09,20.19,37,1
15.59,20.33,37,1
16.09,20.48,37,1
16.59,20.64,37,1
17.09,20.79,37,1
17.59,20.95,37,1
18.09,21.10,37,1
18.59,21.26,37,1
19.09,21.42,37,1
19.59,21.58,37,1
20.09,21.73,37,1
20.59,21.89,37,1
21.09,22.04,37,1
21.59,22.20,37,1
22.09,22.35,37,1
22.59,22.50,37,1
23.09,22.65,37,1
23.59,22.80,37,1
24.09,22.94,37,1
24.59,23.09,37,1
25.09,23.23,37,1
25.59,23.37,37,1
26.09,23.51,37,1
26.59,23.64,37,1
27.09,23.78,37,1
27.59,23.91,37,0
28.09,23.99,37,0
28.59,24.03,37,0
29.09,24.05,37,0
29.59,24.04,37,0
30.09,24.02,37,0
30.59,23.99,37,0
31.09,23.95,37,0
31.59,23.90,37,0
32.09,23.84,37,0
32.59,23.78,37,0
33.09,23.71,37,0
33.59,23.64,37,0
34.09,23.57,37,0
34.59,23.50,37,0
35.09,23.42,37,0
35.59,23.34,37,0
36.09,23.26,37,0
36.59,23.18,37,0
37.09,23.11,37,0
37.59,23.03,37,0
38.09,22.94,37,0
38.59,22.87,37,0
39.09,22.80,37,0
39.59,22.72,37,0
40.09,22.64,37,0
40.59,22.57,37,0
41.09,22.49,37,0
41.59,22.43,40,0
42.09,22.36,83,0
42.59,22.28,83,0
43.09,22.20,83,0
43.59,22.11,83,0
44.09,22.00,83,0
44.59,21.91,255,0
45.09,21.81,255,0
45.59,21.73,255,0
46.09,21.62,255,0
46.59,21.52,255,0
47.09,21.42,255,0
47.59,21.32,255,0
48.09,21.23,255,0
48.59,21.13,255,0
49.09,21.04,255,0
49.59,20.94,255,0
50.09,20.85,255,0
50.59,20.75,255,0
51.09,20.66,255,0
51.59,20.57,255,0
52.09,20.48,255,0
52.59,20.39,255,0
53.09,20.30,255,0
53.59,20.22,255,0
54.09,20.13,255,0
54.59,20.04,255,0
55.09,19.96,255,0
55.59,19.88,255,0
56.09,19.79,255,0
56.59,19.73,255,0
57.09,19.63,255,0
57.59,19.56,255,0
58.09,19.48,255,0
58.59,19.40,255,0
59.09,19.33,255,0
59.59,19.25,255,0
60.09,19.17,255,0
60.59,19.10,255,0
61.09,19.04,255,0
61.59,18.95,255,0
62.09,18.88,255,0
62.59,18.81,255,0
63.09,18.74,255,0
63.59,18.68,255,0
64.09,18.61,255,0
64.59,18.54,255,0
65.09,18.48,255,0
65.59,18.41,255,0
66.09,18.35,255,0
66.59,18.28,255,0
67.09,18.22,255,0
67.59,18.15,255,0
68.09,18.09,255,0
68.59,18.03,255,0
69.09,17.96,255,0
69.59,17.91,255,0
70.09,17.85,255,0
70.59,17.78,255,0
71.09,17.73,255,0
71.59,17.67,255,0
72.09,17.61,255,0
72.59,17.55,255,0
73.09,17.50,255,0
73.59,17.46,255,0
74.09,17.39,255,0
74.59,17.34,255,0
75.09,17.29,255,0
75.59,17.24,255,0
76.09,17.18,255,0
76.59,17.14,255,0
77.09,17.09,255,0
77.59,17.04,255,0
78.09,17.00,255,0
78.59,16.96,255,0
79.09,16.92,255,0
79.59,16.87,255,0
