time_s,temperature_C,pwm,heat_cool
0.50,20.12,0,1
1.00,20.13,0,1
1.50,20.16,0,1
2.00,20.16,0,1
2.50,20.16,0,1
3.00,20.17,0,1
3.50,20.17,0,1
4.00,20.17,0,1
4.50,20.18,0,1
5.00,20.19,0,1
5.50,20.20,0,1
6.00,20.21,0,1
6.50,20.22,0,1
7.00,20.23,0,1
7.50,20.24,0,1
8.00,20.25,0,1
8.50,20.26,0,1
9.00,20.27,0,1
9.50,20.28,0,1
10.00,20.30,0,1
10.50,20.31,0,1
11.00,20.32,0,1
11.50,20.33,0,1
12.00,20.34,0,1
12.50,20.35,0,1
13.00,20.37,0,1
13.50,20.37,0,1
14.00,20.39,0,1
14.50,20.40,0,1
15.00,20.41,0,1
15.50,20.42,0,1
16.00,20.43,0,1
16.50,20.44,0,1
17.00,20.45,0,1
17.50,20.47,0,1
18.00,20.48,0,1
18.50,20.48,0,1
19.00,20.51,0,1
19.50,20.53,0,1
20.00,20.52,0,1
20.50,20.53,0,1
21.00,20.54,0,1
21.50,20.55,0,1
22.00,20.56,0,1
22.50,20.57,0,1
23.00,20.58,0,1
23.50,20.59,0,1
24.00,20.60,0,1
24.50,20.61,0,1
25.00,20.61,0,1
25.50,20.62,0,1
26.00,20.63,0,1
26.50,20.64,0,1
27.00,20.65,0,1
27.50,20.65,0,1
28.00,20.66,0,1
28.50,20.67,0,1
29.00,20.68,0,1
29.50,20.68,0,1
30.00,20.69,0,1
30.50,20.69,0,1
31.00,20.70,0,1
31.50,20.71,0,1
32.00,20.72,0,1
32.50,20.72,0,1
33.00,20.73,0,1
33.50,20.74,0,1
34.00,20.75,0,1
34.50,20.75,0,1
35.00,20.75,0,1
35.50,20.76,0,1
36.00,20.77,0,1
36.50,20.77,0,1
37.00,20.78,0,1
37.50,20.79,0,1
38.00,20.79,0,1
38.50,20.80,0,1
39.00,20.81,0,1
39.50,20.81,0,1
40.00,20.82,0,1
40.50,20.82,0,1
41.00,20.83,0,1
41.50,20.83,0,1
42.00,20.84,0,1
42.50,20.85,0,1
43.00,20.85,0,1
43.50,20.85,0,1
44.00,20.86,0,1
44.50,20.87,0,1
45.00,20.87,0,1
45.50,20.88,0,1
46.00,20.88,0,1
46.50,20.89,0,1
47.00,20.89,0,1
47.50,20.90,0,1
48.00,20.90,0,1
48.50,20.91,0,1
49.00,20.91,0,1
49.50,20.92,0,1
50.00,20.92,0,1
50.50,20.92,0,1
51.00,20.93,0,1
51.50,20.93,0,1
52.00,20.93,0,1
